mysql> alter table payments add orderNumber int not null;
Query OK, 0 rows affected (0.67 sec)
Records: 0  Duplicates: 0  Warnings: 0

mysql> update payments set orderNumber = ( select orderNumber from orders order by rand() limit 1);
Query OK, 273 rows affected (0.46 sec)
Rows matched: 273  Changed: 273  Warnings: 0

mysql> alter table payments add constraint orderId foreign key(orderNumber) references orders(orderNumber);
Query OK, 273 rows affected (1.64 sec)
Records: 273  Duplicates: 0  Warnings: 0

mysql> select * from payments;
+----------------+-------------+-------------+-----------+-------------+
| customerNumber | checkNumber | paymentDate | amount    | orderNumber |
|            141 | MF629602    | 2004-08-16  |  20009.53 |       10366 |
|            141 | NU627706    | 2004-05-17  |  26155.91 |       10327 |
|            144 | IR846303    | 2004-12-12  |  36005.71 |       10338 |
|            144 | LA685678    | 2003-04-09  |   7674.94 |       10232 |
|            145 | CN328545    | 2004-07-03  |   4710.73 |       10249 |
|            145 | ED39322     | 2004-04-26  |  28211.70 |       10347 |
|            145 | HR182688    | 2004-12-01  |  20564.86 |       10269 |
|            145 | JJ246391    | 2003-02-20  |  53959.21 |       10254 |
|            146 | FP549817    | 2004-03-18  |  40978.53 |       10313 |
|            146 | FU793410    | 2004-01-16  |  49614.72 |       10404 |
|            146 | LJ160635    | 2003-12-10  |  39712.10 |       10230 |
|            148 | BI507030    | 2003-04-22  |  44380.15 |       10362 |
|            148 | DD635282    | 2004-08-11  |   2611.84 |       10371 |
|            148 | KM172879    | 2003-12-26  | 105743.00 |       10418 |
|            148 | ME497970    | 2005-03-27  |   3516.04 |       10383 |
|            151 | BF686658    | 2003-12-22  |  58793.53 |       10382 |
|            151 | GB852215    | 2004-07-26  |  20314.44 |       10306 |
|            151 | IP568906    | 2003-06-18  |  58841.35 |       10333 |
|            151 | KI884577    | 2004-12-14  |  39964.63 |       10130 |
|            157 | HI618861    | 2004-11-19  |  35152.12 |       10174 |
|            157 | NN711988    | 2004-09-07  |  63357.13 |       10408 |
|            161 | BR352384    | 2004-11-14  |   2434.25 |       10405 |
|            161 | BR478494    | 2003-11-18  |  50743.65 |       10117 |
|            161 | KG644125    | 2005-02-02  |  12692.19 |       10358 |
|            161 | NI908214    | 2003-08-05  |  38675.13 |       10415 |
|            166 | BQ327613    | 2004-09-16  |  38785.48 |       10162 |
|            166 | DC979307    | 2004-07-07  |  44160.92 |       10366 |
|            166 | LA318629    | 2004-02-28  |  22474.17 |       10291 |
|            167 | ED743615    | 2004-09-19  |  12538.01 |       10393 |
|            167 | GN228846    | 2003-12-03  |  85024.46 |       10379 |
|            171 | GB878038    | 2004-03-15  |  18997.89 |       10409 |
|            171 | IL104425    | 2003-11-22  |  42783.81 |       10307 |
|            172 | AD832091    | 2004-09-09  |   1960.80 |       10129 |
|            172 | CE51751     | 2004-12-04  |  51209.58 |       10257 |
|            172 | EH208589    | 2003-04-20  |  33383.14 |       10146 |
|            173 | GP545698    | 2004-05-13  |  11843.45 |       10232 |
|            173 | IG462397    | 2004-03-29  |  20355.24 |       10133 |
|            175 | CITI3434344 | 2005-05-19  |  28500.78 |       10137 |
|            175 | IO448913    | 2003-11-19  |  24879.08 |       10423 |
|            175 | PI15215     | 2004-07-10  |  42044.77 |       10263 |
|            177 | AU750837    | 2004-04-17  |  15183.63 |       10225 |
|            177 | CI381435    | 2004-01-19  |  47177.59 |       10342 |
|            181 | CM564612    | 2004-04-25  |  22602.36 |       10360 |
|            181 | GQ132144    | 2003-01-30  |   5494.78 |       10212 |
|            181 | OH367219    | 2004-11-16  |  44400.50 |       10393 |
|            186 | AE192287    | 2005-03-10  |  23602.90 |       10364 |
|            186 | AK412714    | 2003-10-27  |  37602.48 |       10273 |
|            186 | KA602407    | 2004-10-21  |  34341.08 |       10144 |
|            187 | AM968797    | 2004-11-03  |  52825.29 |       10264 |
|            187 | BQ39062     | 2004-12-08  |  47159.11 |       10103 |
|            187 | KL124726    | 2003-03-27  |  48425.69 |       10350 |
|            189 | BO711618    | 2004-10-03  |  17359.53 |       10334 |
|            189 | NM916675    | 2004-03-01  |  32538.74 |       10399 |
|            198 | FI192930    | 2004-12-06  |   9658.74 |       10232 |
|            198 | HQ920205    | 2003-07-06  |   6036.96 |       10253 |
|            198 | IS946883    | 2004-09-21  |   5858.56 |       10244 |
|            201 | DP677013    | 2003-10-20  |  23908.24 |       10424 |
|            201 | OO846801    | 2004-06-15  |  37258.94 |       10328 |
|            202 | HI358554    | 2003-12-18  |  36527.61 |       10348 |
|            202 | IQ627690    | 2004-11-08  |  33594.58 |       10321 |
|            204 | GC697638    | 2004-08-13  |  51152.86 |       10330 |
|            204 | IS150005    | 2004-09-24  |   4424.40 |       10391 |
|            205 | GL756480    | 2003-12-04  |   3879.96 |       10366 |
|            205 | LL562733    | 2003-09-05  |  50342.74 |       10327 |
|            205 | NM739638    | 2005-02-06  |  39580.60 |       10197 |
|            209 | BOAF82044   | 2005-05-03  |  35157.75 |       10369 |
|            209 | ED520529    | 2004-06-21  |   4632.31 |       10398 |
|            209 | PH785937    | 2004-05-04  |  36069.26 |       10211 |
|            211 | BJ535230    | 2003-12-09  |  45480.79 |       10359 |
|            216 | BG407567    | 2003-05-09  |   3101.40 |       10322 |
|            216 | ML780814    | 2004-12-06  |  24945.21 |       10104 |
|            216 | MM342086    | 2003-12-14  |  40473.86 |       10193 |
|            219 | BN17870     | 2005-03-02  |   3452.75 |       10401 |
|            219 | BR941480    | 2003-10-18  |   4465.85 |       10228 |
|            227 | MQ413968    | 2003-10-31  |  36164.46 |       10127 |
|            227 | NU21326     | 2004-11-02  |  53745.34 |       10149 |
|            233 | BOFA23232   | 2005-05-20  |  29070.38 |       10368 |
|            233 | II180006    | 2004-07-01  |  22997.45 |       10146 |
|            233 | JG981190    | 2003-11-18  |  16909.84 |       10323 |
|            239 | NQ865547    | 2004-03-15  |  80375.24 |       10258 |
|            240 | IF245157    | 2004-11-16  |  46788.14 |       10330 |
|            240 | JO719695    | 2004-03-28  |  24995.61 |       10271 |
|            242 | AF40894     | 2003-11-22  |  33818.34 |       10268 |
|            242 | HR224331    | 2005-06-03  |  12432.32 |       10373 |
|            242 | KI744716    | 2003-07-21  |  14232.70 |       10317 |
|            249 | IJ399820    | 2004-09-19  |  33924.24 |       10137 |
|            249 | NE404084    | 2004-09-04  |  48298.99 |       10208 |
|            250 | EQ12267     | 2005-05-17  |  17928.09 |       10355 |
|            250 | HD284647    | 2004-12-30  |  26311.63 |       10246 |
|            250 | HN114306    | 2003-07-18  |  23419.47 |       10276 |
|            256 | EP227123    | 2004-02-10  |   5759.42 |       10142 |
|            256 | HE84936     | 2004-10-22  |  53116.99 |       10424 |
|            259 | EU280955    | 2004-11-06  |  61234.67 |       10419 |
|            259 | GB361972    | 2003-12-07  |  27988.47 |       10403 |
|            260 | IO164641    | 2004-08-30  |  37527.58 |       10181 |
|            260 | NH776924    | 2004-04-24  |  29284.42 |       10303 |
|            276 | EM979878    | 2005-02-09  |  27083.78 |       10248 |
|            276 | KM841847    | 2003-11-13  |  38547.19 |       10155 |
|            276 | LE432182    | 2003-09-28  |  41554.73 |       10369 |
|            276 | OJ819725    | 2005-04-30  |  29848.52 |       10198 |
|            278 | BJ483870    | 2004-12-05  |  37654.09 |       10398 |
|            278 | GP636783    | 2003-03-02  |  52151.81 |       10118 |
|            278 | NI983021    | 2003-11-24  |  37723.79 |       10125 |
|            282 | IA793562    | 2003-08-03  |  24013.52 |       10169 |
|            282 | JT819493    | 2004-08-02  |  35806.73 |       10218 |
|            282 | OD327378    | 2005-01-03  |  31835.36 |       10357 |
|            286 | DR578578    | 2004-10-28  |  47411.33 |       10346 |
|            286 | KH910279    | 2004-09-05  |  43134.04 |       10253 |
|            298 | AJ574927    | 2004-03-13  |  47375.92 |       10420 |
|            298 | LF501133    | 2004-09-18  |  61402.00 |       10154 |
|            299 | AD304085    | 2003-10-24  |  36798.88 |       10134 |
|            299 | NR157385    | 2004-09-05  |  32260.16 |       10211 |
|            311 | DG336041    | 2005-02-15  |  46770.52 |       10262 |
|            311 | FA728475    | 2003-10-06  |  32723.04 |       10286 |
|            311 | NQ966143    | 2004-04-25  |  16212.59 |       10214 |
|            314 | LQ244073    | 2004-08-09  |  45352.47 |       10248 |
|            314 | MD809704    | 2004-03-03  |  16901.38 |       10369 |
|            319 | HL685576    | 2004-11-06  |  42339.76 |       10141 |
|            319 | OM548174    | 2003-12-07  |  36092.40 |       10349 |
|            320 | GJ597719    | 2005-01-18  |   8307.28 |       10310 |
|            320 | HO576374    | 2003-08-20  |  41016.75 |       10123 |
|            320 | MU817160    | 2003-11-24  |  52548.49 |       10299 |
|            321 | DJ15149     | 2003-11-03  |  85559.12 |       10390 |
|            321 | LA556321    | 2005-03-15  |  46781.66 |       10418 |
|            323 | AL493079    | 2005-05-23  |  75020.13 |       10289 |
|            323 | ES347491    | 2004-06-24  |  37281.36 |       10289 |
|            323 | HG738664    | 2003-07-05  |   2880.00 |       10143 |
|            323 | PQ803830    | 2004-12-24  |  39440.59 |       10260 |
|            324 | DQ409197    | 2004-12-13  |  13671.82 |       10141 |
|            324 | FP443161    | 2003-07-07  |  29429.14 |       10125 |
|            324 | HB150714    | 2003-11-23  |  37455.77 |       10343 |
|            328 | EN930356    | 2004-04-16  |   7178.66 |       10185 |
|            328 | NR631421    | 2004-05-30  |  31102.85 |       10311 |
|            333 | HL209210    | 2003-11-15  |  23936.53 |       10328 |
|            333 | JK479662    | 2003-10-17  |   9821.32 |       10396 |
|            333 | NF959653    | 2005-03-01  |  21432.31 |       10273 |
|            334 | CS435306    | 2005-01-27  |  45785.34 |       10322 |
|            334 | HH517378    | 2003-08-16  |  29716.86 |       10282 |
|            334 | LF737277    | 2004-05-22  |  28394.54 |       10203 |
|            339 | AP286625    | 2004-10-24  |  23333.06 |       10387 |
|            339 | DA98827     | 2003-11-28  |  34606.28 |       10110 |
|            344 | AF246722    | 2003-11-24  |  31428.21 |       10412 |
|            344 | NJ906924    | 2004-04-02  |  15322.93 |       10337 |
|            347 | DG700707    | 2004-01-18  |  21053.69 |       10172 |
|            347 | LG808674    | 2003-10-24  |  20452.50 |       10164 |
|            350 | BQ602907    | 2004-12-11  |  18888.31 |       10393 |
|            350 | CI471510    | 2003-05-25  |  50824.66 |       10306 |
|            350 | OB648482    | 2005-01-29  |   1834.56 |       10133 |
|            353 | CO351193    | 2005-01-10  |  49705.52 |       10405 |
|            353 | ED878227    | 2003-07-21  |  13920.26 |       10353 |
|            353 | GT878649    | 2003-05-21  |  16700.47 |       10251 |
|            353 | HJ618252    | 2005-06-09  |  46656.94 |       10152 |
|            357 | AG240323    | 2003-12-16  |  20220.04 |       10418 |
|            357 | NB291497    | 2004-05-15  |  36442.34 |       10219 |
|            362 | FP170292    | 2004-07-11  |  18473.71 |       10356 |
|            362 | OG208861    | 2004-09-21  |  15059.76 |       10422 |
|            363 | HL575273    | 2004-11-17  |  50799.69 |       10121 |
|            363 | IS232033    | 2003-01-16  |  10223.83 |       10272 |
|            363 | PN238558    | 2003-12-05  |  55425.77 |       10228 |
|            379 | CA762595    | 2005-02-12  |  28322.83 |       10122 |
|            379 | FR499138    | 2003-09-16  |  32680.31 |       10202 |
|            379 | GB890854    | 2004-08-02  |  12530.51 |       10180 |
|            381 | BC726082    | 2004-12-03  |  12081.52 |       10332 |
|            381 | CC475233    | 2003-04-19  |   1627.56 |       10242 |
|            381 | GB117430    | 2005-02-03  |  14379.90 |       10288 |
|            381 | MS154481    | 2003-08-22  |   1128.20 |       10100 |
|            382 | CC871084    | 2003-05-12  |  35826.33 |       10106 |
|            382 | CT821147    | 2004-08-01  |   6419.84 |       10230 |
|            382 | PH29054     | 2004-11-27  |  42813.83 |       10382 |
|            385 | BN347084    | 2003-12-02  |  20644.24 |       10357 |
|            385 | CP804873    | 2004-11-19  |  15822.84 |       10179 |
|            385 | EK785462    | 2003-03-09  |  51001.22 |       10380 |
|            386 | DO106109    | 2003-11-18  |  38524.29 |       10219 |
|            386 | HG438769    | 2004-07-18  |  51619.02 |       10320 |
|            398 | AJ478695    | 2005-02-14  |  33967.73 |       10178 |
|            398 | DO787644    | 2004-06-21  |  22037.91 |       10419 |
|            398 | JPMR4544    | 2005-05-18  |    615.45 |       10359 |
|            398 | KB54275     | 2004-11-29  |  48927.64 |       10322 |
|            406 | BJMPR4545   | 2005-04-23  |  12190.85 |       10102 |
|            406 | HJ217687    | 2004-01-28  |  49165.16 |       10424 |
|            406 | NA197101    | 2004-06-17  |  25080.96 |       10260 |
|            412 | GH197075    | 2004-07-25  |  35034.57 |       10413 |
|            412 | PJ434867    | 2004-04-14  |  31670.37 |       10335 |
|            415 | ER54537     | 2004-09-28  |  31310.09 |       10150 |
|            424 | KF480160    | 2004-12-07  |  25505.98 |       10131 |
|            424 | LM271923    | 2003-04-16  |  21665.98 |       10106 |
|            424 | OA595449    | 2003-10-31  |  22042.37 |       10298 |
|            447 | AO757239    | 2003-09-15  |   6631.36 |       10396 |
|            447 | ER615123    | 2003-06-25  |  17032.29 |       10188 |
|            447 | OU516561    | 2004-12-17  |  26304.13 |       10373 |
|            448 | FS299615    | 2005-04-18  |  27966.54 |       10417 |
|            448 | KR822727    | 2004-09-30  |  48809.90 |       10399 |
|            450 | EF485824    | 2004-06-21  |  59551.38 |       10191 |
|            452 | ED473873    | 2003-11-15  |  27121.90 |       10139 |
|            452 | FN640986    | 2003-11-20  |  15130.97 |       10191 |
|            452 | HG635467    | 2005-05-03  |   8807.12 |       10191 |
|            455 | HA777606    | 2003-12-05  |  38139.18 |       10171 |
|            455 | IR662429    | 2004-05-12  |  32239.47 |       10293 |
|            456 | GJ715659    | 2004-11-13  |  27550.51 |       10322 |
|            456 | MO743231    | 2004-04-30  |   1679.92 |       10194 |
|            458 | DD995006    | 2004-11-15  |  33145.56 |       10425 |
|            458 | NA377824    | 2004-02-06  |  22162.61 |       10100 |
|            458 | OO606861    | 2003-06-13  |  57131.92 |       10213 |
|            462 | ED203908    | 2005-04-15  |  30293.77 |       10254 |
|            462 | GC60330     | 2003-11-08  |   9977.85 |       10158 |
|            462 | PE176846    | 2004-11-27  |  48355.87 |       10334 |
|            471 | AB661578    | 2004-07-28  |   9415.13 |       10266 |
|            471 | CO645196    | 2003-12-10  |  35505.63 |       10316 |
|            473 | LL427009    | 2004-02-17  |   7612.06 |       10274 |
|            473 | PC688499    | 2003-10-27  |  17746.26 |       10328 |
|            475 | JP113227    | 2003-12-09  |   7678.25 |       10378 |
|            475 | PB951268    | 2004-02-13  |  36070.47 |       10147 |
|            484 | GK294076    | 2004-10-26  |   3474.66 |       10265 |
|            484 | JH546765    | 2003-11-29  |  47513.19 |       10206 |
|            486 | BL66528     | 2004-04-14  |   5899.38 |       10400 |
|            486 | HS86661     | 2004-11-23  |  45994.07 |       10259 |
|            486 | JB117768    | 2003-03-20  |  25833.14 |       10132 |
|            487 | AH612904    | 2003-09-28  |  29997.09 |       10126 |
|            487 | PT550181    | 2004-02-29  |  12573.28 |       10398 |
|            489 | OC773849    | 2003-12-04  |  22275.73 |       10234 |
|            489 | PO860906    | 2004-01-31  |   7310.42 |       10364 |
|            495 | BH167026    | 2003-12-26  |  59265.14 |       10171 |
|            495 | FN155234    | 2004-05-14  |   6276.60 |       10367 |
|            496 | EU531600    | 2005-05-25  |  30253.75 |       10358 |
|            496 | MB342426    | 2003-07-16  |  32077.44 |       10216 |
|            496 | MN89921     | 2004-12-31  |  52166.00 |       10233 |
|            497 | abcd_123    | 2020-06-06  |     28.00 |       10426 |
|            497 | abcd_456    | 2020-06-06  |     28.00 |       10427 |
+----------------+-------------+-------------+-----------+-------------+

